temperature	air_quality	carbon_monoxide	gas_and_smoke	label
30	211	351	199	Non-Fire
30	219	342	195	Non-Fire
30	215	343	185	Non-Fire
30	211	351	181	Non-Fire
30	218	349	191	Non-Fire
30	221	346	198	Non-Fire
30	208	360	204	Non-Fire
30	218	342	183	Non-Fire
30	208	349	193	Non-Fire
30	215	341	183	Non-Fire
29.94	208	357	197	Non-Fire
29.94	208	342	196	Non-Fire
30	208	358	177	Non-Fire
29.94	214	346	191	Non-Fire
29.94	216	350	194	Non-Fire
29.94	216	343	183	Non-Fire
29.94	213	359	198	Non-Fire
29.94	214	354	178	Non-Fire
29.94	213	343	191	Non-Fire
29.94	208	356	196	Non-Fire
29.94	209	352	196	Non-Fire
29.88	218	354	176	Non-Fire
29.88	208	351	183	Non-Fire
29.88	214	357	176	Non-Fire
29.88	205	357	192	Non-Fire
29.88	205	352	193	Non-Fire
29.88	218	342	178	Non-Fire
29.88	214	342	191	Non-Fire
29.88	208	349	190	Non-Fire
29.88	208	357	176	Non-Fire
29.88	204	359	183	Non-Fire
29.88	206	363	192	Non-Fire
29.88	208	354	178	Non-Fire
